step_time,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,errorBalanceOrig,errorBalanceDest,amount_to_balance_ratio,seconds_since_last_txn,txn_count_5min,txn_count_60min,is_new_dest,fraud_score,flagged
2026-01-19 22:58:00,CASH_OUT,15854.83,acct_0000134,16904.29,1049.46,acct_0000316,0.0,15854.83,0,0.0,0.0,0.9379175345430064,174300.0,1.0,1.0,True,0.9931121625874361,True
2026-01-28 21:37:00,TRANSFER,796.74,acct_0000614,5049.67,4252.93,acct_0001406,0.0,796.74,0,0.0,0.0,0.157780607445635,262740.0,1.0,1.0,True,0.9718114395330942,True
2026-01-27 20:55:00,TRANSFER,602.21,acct_0000410,3908.0,3305.79,acct_0001565,0.0,602.21,0,0.0,0.0,0.154096724667349,183120.0,1.0,1.0,True,0.9571821242251184,True
2026-01-21 02:03:00,TRANSFER,1432.93,acct_0000086,8628.5,7195.57,acct_0001982,0.0,1432.93,0,0.0,0.0,0.1660694211044793,64440.0,1.0,1.0,True,0.9570033879403163,True
2026-01-19 15:48:00,TRANSFER,710.11,acct_0000713,3005.31,2295.2,acct_0001810,0.0,710.11,0,0.0,0.0,0.2362851086909503,57480.0,1.0,1.0,True,0.9569287546464176,True
2026-01-17 07:36:00,CASH_OUT,1022.16,acct_0001880,1093.37,71.21,acct_0000657,0.0,1022.16,0,0.0,0.0,0.9348710866403872,23640.0,1.0,1.0,True,0.9471347935869143,True
2026-01-21 00:10:00,TRANSFER,1494.33,acct_0002067,7776.66,6282.33,acct_0001586,0.0,1494.33,0,0.0,0.0,0.192155758384705,69660.0,1.0,1.0,True,0.9419786930547701,True
2026-01-20 10:20:00,TRANSFER,551.49,acct_0002233,2857.31,2305.82,acct_0001649,0.0,551.49,0,4.547473508864641e-13,0.0,0.1930102089027792,51660.0,1.0,1.0,True,0.9399760153981476,True
2026-01-07 21:02:00,TRANSFER,693.78,acct_0000865,6069.66,5375.88,acct_0000932,0.0,693.78,0,0.0,0.0,0.1143029428337007,36660.0,1.0,1.0,True,0.9232265491995931,True
2026-01-16 11:36:00,TRANSFER,1751.74,acct_0001476,15216.7,13464.96,acct_0002096,0.0,1751.74,0,-1.8189894035458565e-12,0.0,0.1151195725748683,19320.0,1.0,1.0,True,0.9054150675138989,True
2026-01-23 15:04:00,TRANSFER,342.34,acct_0001402,2511.05,2168.71,acct_0000612,0.0,342.34,0,0.0,0.0,0.1363334063439596,16020.0,1.0,1.0,True,0.8986544888567333,True
2026-01-22 14:42:00,TRANSFER,1267.55,acct_0001275,4865.84,3598.29,acct_0000802,0.0,1267.55,0,0.0,0.0,0.260499728721043,77580.0,1.0,1.0,True,0.8815823939226014,True
2026-01-21 13:32:00,TRANSFER,2647.01,acct_0001567,21289.64,18642.63,acct_0002205,0.0,2647.01,0,0.0,0.0,0.1243332437749065,76920.0,1.0,1.0,True,0.8725734925336495,True
2026-01-10 16:25:00,TRANSFER,4515.15,acct_0001707,33356.16,28841.01,acct_0001880,0.0,4515.15,0,-7.275957614183426e-12,0.0,0.1353618042364588,112560.0,1.0,1.0,True,0.8530629186660653,True
2026-01-13 18:32:00,TRANSFER,1847.84,acct_0000374,7489.7,5641.86,acct_0002455,0.0,1847.84,0,0.0,0.0,0.2467174920223774,83400.0,1.0,1.0,True,0.8443899194892804,True
2026-01-19 11:50:00,TRANSFER,861.52,acct_0001774,6497.49,5635.96,acct_0000173,0.0,861.52,0,-0.0100000000002182,0.0,0.1325927396579294,10260.0,1.0,1.0,True,0.8414087627496541,True
2026-01-16 00:18:00,TRANSFER,1601.3,acct_0002410,14027.17,12425.87,acct_0002123,0.0,1601.3,0,0.0,0.0,0.1141570252588369,515220.0,1.0,1.0,True,0.8367811566916917,True
2026-01-26 15:19:00,TRANSFER,312.53,acct_0000177,2401.23,2088.71,acct_0001524,0.0,312.53,0,0.0099999999997635,0.0,0.1301541293420455,182640.0,1.0,1.0,True,0.8301395413735283,True
2026-01-12 19:39:00,TRANSFER,419.02,acct_0002450,3246.89,2827.87,acct_0000729,0.0,419.02,0,0.0,0.0,0.1290527242992525,8520.0,1.0,1.0,True,0.8180105011639421,True
2026-01-17 08:31:00,TRANSFER,174.4,acct_0000090,787.16,612.76,acct_0000240,0.0,174.4,0,0.0,0.0,0.2215559733726307,185160.0,1.0,1.0,True,0.8079904175911101,True
2026-01-01 17:19:00,CASH_OUT,111.75,acct_0000777,120.82,9.07,acct_0001029,0.0,111.75,0,0.0,0.0,0.9249296474093692,1000000.0,1.0,1.0,True,0.7607450039819079,True
2026-01-23 21:02:00,TRANSFER,3778.94,acct_0000276,15221.37,11442.42,acct_0001076,0.0,3778.94,0,-0.0100000000002182,0.0,0.2482654320865993,114720.0,1.0,1.0,True,0.669215505592764,True
2026-01-03 07:36:00,TRANSFER,257.14,acct_0000555,1232.67,975.53,acct_0000515,0.0,257.14,0,0.0,0.0,0.2086040870630419,5220.0,1.0,1.0,True,0.6387878472656041,True
2026-01-22 18:08:00,TRANSFER,3049.34,acct_0000189,19424.12,16374.79,acct_0000094,0.0,3049.34,0,0.0100000000020372,0.0,0.1569872920883932,4140.0,1.0,1.0,True,0.609071913114089,True
2026-01-16 09:37:00,TRANSFER,5723.1,acct_0001564,21422.45,15699.35,acct_0000347,0.0,5723.1,0,0.0,0.0,0.2671543170832468,154560.0,1.0,1.0,True,0.5018532898228241,True
