step_time,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
2026-01-23 07:49:08,TRANSFER,263.81,acct_0000851,1390.36,1126.55,mule_0306,0.0,263.81,1
2026-01-29 21:01:32,TRANSFER,963.12,acct_0002426,7184.25,6221.14,mule_0204,0.0,963.12,1
2026-01-18 17:11:16,TRANSFER,681.19,acct_0000691,3918.68,3237.49,mule_0490,0.0,681.19,1
2026-01-07 05:46:06,TRANSFER,1042.39,acct_0001745,8926.06,7883.67,mule_0365,0.0,1042.39,1
2026-01-09 08:02:38,TRANSFER,48.05,acct_0000828,398.56,350.51,mule_0335,0.0,48.05,1
2026-01-19 22:58:00,CASH_OUT,15854.83,acct_0000134,16904.29,1049.46,acct_0000316,0.0,15854.83,0
2026-01-28 21:37:00,TRANSFER,796.74,acct_0000614,5049.67,4252.93,acct_0001406,0.0,796.74,0
2026-01-27 20:55:00,TRANSFER,602.21,acct_0000410,3908.0,3305.79,acct_0001565,0.0,602.21,0
2026-01-21 02:03:00,TRANSFER,1432.93,acct_0000086,8628.5,7195.57,acct_0001982,0.0,1432.93,0
2026-01-19 15:48:00,TRANSFER,710.11,acct_0000713,3005.31,2295.2,acct_0001810,0.0,710.11,0
2026-01-17 07:36:00,CASH_OUT,1022.16,acct_0001880,1093.37,71.21,acct_0000657,0.0,1022.16,0
2026-01-21 00:10:00,TRANSFER,1494.33,acct_0002067,7776.66,6282.33,acct_0001586,0.0,1494.33,0
2026-01-20 10:20:00,TRANSFER,551.49,acct_0002233,2857.31,2305.82,acct_0001649,0.0,551.49,0
2026-01-07 21:02:00,TRANSFER,693.78,acct_0000865,6069.66,5375.88,acct_0000932,0.0,693.78,0
2026-01-16 11:36:00,TRANSFER,1751.74,acct_0001476,15216.7,13464.96,acct_0002096,0.0,1751.74,0
2026-01-23 15:04:00,TRANSFER,342.34,acct_0001402,2511.05,2168.71,acct_0000612,0.0,342.34,0
2026-01-22 14:42:00,TRANSFER,1267.55,acct_0001275,4865.84,3598.29,acct_0000802,0.0,1267.55,0
2026-01-21 13:32:00,TRANSFER,2647.01,acct_0001567,21289.64,18642.63,acct_0002205,0.0,2647.01,0
2026-01-10 16:25:00,TRANSFER,4515.15,acct_0001707,33356.16,28841.01,acct_0001880,0.0,4515.15,0
2026-01-13 18:32:00,TRANSFER,1847.84,acct_0000374,7489.7,5641.86,acct_0002455,0.0,1847.84,0
2026-01-19 11:50:00,TRANSFER,861.52,acct_0001774,6497.49,5635.96,acct_0000173,0.0,861.52,0
2026-01-16 00:18:00,TRANSFER,1601.3,acct_0002410,14027.17,12425.87,acct_0002123,0.0,1601.3,0
2026-01-26 15:19:00,TRANSFER,312.53,acct_0000177,2401.23,2088.71,acct_0001524,0.0,312.53,0
2026-01-12 19:39:00,TRANSFER,419.02,acct_0002450,3246.89,2827.87,acct_0000729,0.0,419.02,0
2026-01-17 08:31:00,TRANSFER,174.4,acct_0000090,787.16,612.76,acct_0000240,0.0,174.4,0
2026-01-01 17:19:00,CASH_OUT,111.75,acct_0000777,120.82,9.07,acct_0001029,0.0,111.75,0
2026-01-23 21:02:00,TRANSFER,3778.94,acct_0000276,15221.37,11442.42,acct_0001076,0.0,3778.94,0
2026-01-03 07:36:00,TRANSFER,257.14,acct_0000555,1232.67,975.53,acct_0000515,0.0,257.14,0
2026-01-22 18:08:00,TRANSFER,3049.34,acct_0000189,19424.12,16374.79,acct_0000094,0.0,3049.34,0
2026-01-16 09:37:00,TRANSFER,5723.1,acct_0001564,21422.45,15699.35,acct_0000347,0.0,5723.1,0
2026-01-17 04:56:00,TRANSFER,6597.23,acct_0002193,28680.05,22082.82,mule_0498,0.0,6597.23,1
2026-01-16 05:06:00,TRANSFER,2788.72,acct_0001091,11787.29,8998.57,mule_0064,0.0,2788.72,1
2026-01-22 09:36:00,TRANSFER,6767.7,acct_0002286,25681.42,18913.72,mule_0412,0.0,6767.7,1
2026-01-22 16:44:00,TRANSFER,3087.23,acct_0000174,13673.58,10586.35,mule_0246,0.0,3087.23,1
2026-01-14 20:47:00,TRANSFER,119.19,acct_0001779,881.89,762.7,mule_0290,0.0,119.19,1
2026-01-11 02:20:00,CASH_OUT,3603.06,acct_0001529,3605.32,2.26,mule_0149,0.0,3603.06,1
2026-01-09 05:47:00,TRANSFER,203.54,acct_0002153,1083.45,879.91,mule_0373,0.0,203.54,1
2026-01-25 04:02:00,CASH_OUT,1280.99,acct_0000273,1402.35,121.36,mule_0037,0.0,1280.99,1
2026-01-30 04:03:00,TRANSFER,2277.08,acct_0001173,12539.91,10262.83,mule_0008,0.0,2277.08,1
2026-01-12 07:23:00,CASH_OUT,2125.94,acct_0002037,2494.82,368.88,mule_0080,0.0,2125.94,1
2026-01-28 01:02:00,CASH_OUT,1570.24,acct_0001445,1572.09,1.85,mule_0220,0.0,1570.24,1
2026-01-22 19:09:00,CASH_OUT,2283.96,acct_0001449,2673.92,389.96,mule_0425,0.0,2283.96,1
2026-01-30 13:48:00,CASH_OUT,25681.83,acct_0001386,25818.16,136.33,mule_0057,0.0,25681.83,1
2026-01-12 14:45:00,TRANSFER,2530.64,acct_0002013,20780.04,18249.41,mule_0233,0.0,2530.64,1
2026-01-09 22:42:00,CASH_OUT,29499.83,acct_0000145,30596.32,1096.49,mule_0172,0.0,29499.83,1
2026-01-02 10:07:00,TRANSFER,2888.62,acct_0001374,11760.29,8871.68,mule_0000,0.0,2888.62,1
2026-01-10 00:31:00,CASH_OUT,1951.83,acct_0000245,2295.5,343.67,mule_0172,0.0,1951.83,1
2026-01-04 15:30:00,TRANSFER,136.07,acct_0001498,500.0,363.93,mule_0472,0.0,136.07,1
2026-01-12 09:32:00,CASH_OUT,21802.68,acct_0000094,24660.94,2858.26,mule_0257,0.0,21802.68,1
2026-01-25 13:27:00,CASH_OUT,29038.36,acct_0001308,32236.9,3198.53,acct_0001507,0.0,29038.36,0
2026-01-20 14:42:00,TRANSFER,24.03,acct_0000353,779.75,755.72,acct_0001985,0.0,24.03,0
2026-01-02 23:24:00,TRANSFER,2063.65,acct_0002364,18854.43,16790.78,acct_0001816,0.0,2063.65,0
2026-01-18 09:01:00,CASH_OUT,3066.84,acct_0001689,5974.97,2908.13,acct_0001587,0.0,3066.84,0
2026-01-18 22:40:00,TRANSFER,1749.66,acct_0001234,15987.16,14237.5,acct_0000394,0.0,1749.66,0
2026-01-11 06:13:00,TRANSFER,807.25,acct_0001386,7555.98,6748.74,acct_0001851,0.0,807.25,0
